model_name,theta_1_1_fit_mean_Mean,theta_1_1_fit_mean_SD,theta_1_2_fit_mean_Mean,theta_1_2_fit_mean_SD,theta_2_1_fit_mean_Mean,theta_2_1_fit_mean_SD,theta_2_2_fit_mean_Mean,theta_2_2_fit_mean_SD,inv.state.variance.1_fit_Mean,inv.state.variance.1_fit_SD,inv.obs.variance.1_fit_Mean,inv.obs.variance.1_fit_SD,inv.state.variance.2_fit_Mean,inv.state.variance.2_fit_SD,inv.obs.variance.2_fit_Mean,inv.obs.variance.2_fit_SD,seasonal_Year_Mean,seasonal_Year_SD,seasonal_Year,inv.state.variance.1.hyper.b,inv.state.variance.1.hyper.a,inv.obs.variance.1.hyper.b,inv.obs.variance.1.hyper.a,inv.state.variance.2.hyper.b,inv.state.variance.2.hyper.a,inv.obs.variance.2.hyper.b,inv.obs.variance.2.hyper.a
bivar_kfar1gaussJags8_2_extractInformativePrior,0.836724525,0.0015997,0.089136179,0.3081517,0.107639017,0.09471977,0.850113315,0.095410883,9.31922289762869e-06,8.62271802496939e-06,0.833798169,0.854216217,0.008216903,0.011311856,1.974597355,2.789144006,2018,1,2016,125340.4734,1.16807581,1.142681807,0.952765999,64.21557386,0.527653115,0.253826333,0.501204805
bivar_kfar1gaussJags8_2_extractInformativePrior,0.83741425,0.002016316,0.273781592,0.203751138,0.04972906,0.048573314,0.889404195,0.082370239,1.79139226958752e-05,1.16736267136906e-05,0.745415122,0.890608437,0.013868784,0.010572712,1.721920948,2.982087902,2017.666667,1.527525232,2017,131455.6001,2.354885458,0.939776517,0.700523627,124.0696541,1.72069519,0.193629858,0.333415309
bivar_kfar1gaussJags8_2_extractInformativePrior,0.837966537,0.001075242,0.070251848,0.278140482,0.082571524,0.105115004,0.833058411,0.065907048,1.25667989951123e-05,1.42105681580816e-05,0.951244466,0.707293215,0.00731298,0.009746257,1.974637681,2.789101185,2017.333333,1.527525232,2018,62230.28425,0.782035474,1.901486122,1.808778151,76.98722488,0.563006061,0.253839311,0.501240668
bivar_kfar1gaussJags8_2_extractInformativePrior,0.8369003,0.001866817,0.196187413,0.337360868,0.112858333,0.087125511,0.88679058,0.086684691,1.70679156260495e-05,1.30196397992908e-05,0.388488344,0.309768256,0.013818696,0.010658756,0.252908266,0.437683303,2017,1,2019,100689.1208,1.718553419,4.048593495,1.572831383,121.6337165,1.680819305,1.320210144,0.333892058
