"year","week","Detected","total_vol","smoothed_total_vol.fit","smoothed_Detected.fit","diff_smoothed_total_vol.fit","diff_smoothed_Detected.fit"
2016,1,1,89,17.2122337946942,8.94964505959223,50,0
2016,2,6,452,69.9984876347341,36.5800628370399,52.78625384004,27.6304177774476
2016,3,1,333,118.715538820774,60.9427922456107,48.7170511860398,24.3627294085708
2016,4,5,421,119.489348863074,60.4049219772342,0.773810042299672,-0.537870268376466
2016,5,2,301,134.013157738481,68.7692376304827,14.5238088754069,8.36431565324851
2016,6,3,571,155.032256544648,79.3873668265074,21.0190988061672,10.6181291960247
2016,7,3,537,177.165396015592,90.129262388096,22.1331394709438,10.7418955615886
2016,8,3,481,212.759270267053,109.148135543587,35.5938742514612,19.0188731554908
2016,9,6,693,258.024692619089,132.658789833462,45.2654223520366,23.5106542898756
2016,10,11,796,233.365018538722,120.890188928163,-24.6596740803676,-11.7686009052996
2016,11,3,553,346.235762600897,180.168961962267,112.870744062175,59.2787730341046
2016,12,3,508,316.513980128797,165.98331987355,-29.7217824721,-14.1856420887174
2016,13,16,696,248.437946172724,127.023904019159,-68.0760339560726,-38.9594158543914
2016,14,41,1126,466.612897653325,257.603242768857,218.174951480601,130.579338749699
2016,15,0,408,368.011457081487,206.340386225358,-98.6014405718379,-51.2628565434986
2016,16,135,1432,573.204465041434,359.748942414077,205.193007959947,153.408556188719
2016,17,235,2459,236.222337999013,125.279998752584,-336.982127042421,-234.468943661493
2016,18,81,1254,636.851586825585,388.633295967391,400.629248826572,263.353297214807
2016,19,264,2210,556.273165865265,280.715260468018,-80.5784209603205,-107.918035499373
2016,20,109,1068,520.522400775582,358.990359204353,-35.7507650896823,78.2750987363353
2016,21,50,832,351.220792545686,189.784057326958,-169.301608229897,-169.206301877396
2016,22,0,620,336.028815140096,194.289227674958,-15.1919774055895,4.50517034800026
2016,23,417,2264,764.890068864473,518.472118867479,428.861253724377,324.182891192521
2016,24,216,1392,1026.47403163985,678.149305147637,261.583962775381,159.677186280158
2016,25,437,2679,999.211689396948,713.770815105157,-27.262342242906,35.6215099575195
2016,26,290,1945,742.575180604511,503.895109612664,-256.636508792437,-209.875705492492
2016,27,164,1740,928.834954478555,636.416482214866,186.259773874045,132.521372602202
2016,28,97,1660,1015.72379397757,730.237575800232,86.8888394990113,93.8210935853658
2016,29,0,148,1394.61289944713,992.172106516086,378.88910546956,261.934530715854
2016,30,214,1785,688.019603311555,482.975782172854,-706.593296135572,-509.196324343232
2016,31,173,1604,487.57803319975,299.651281485801,-200.441570111805,-183.324500687053
2016,32,91,1038,576.621321952164,338.949803370596,89.0432887524134,39.2985218847943
2016,33,36,810,435.115007582096,253.193092426846,-141.506314370068,-85.7567109437502
2016,34,53,835,329.357617981362,194.918033005611,-105.757389600734,-58.2750594212341
2016,35,22,681,249.744118903612,135.963722022172,-79.6134990777496,-58.9543109834393
2016,36,19,472,220.073985624004,120.518232429818,-29.670133279608,-15.4454895923541
2016,37,21,557,198.65785825607,105.109265074632,-21.4161273679344,-15.4089673551859
2016,38,1,348,157.953445090279,84.9557781471559,-40.7044131657907,-20.1534869274763
2016,39,1,249,96.6028203090238,48.6850459597618,-61.3506247812552,-36.2707321873941
2016,40,2,245,76.8752667361978,38.6972733879143,-19.727553572826,-9.98777257184747
2016,41,1,154,52.3859938240463,27.1409859561002,-24.4892729121515,-11.5562874318141
2016,42,0,71,90.5742947678927,46.1752640950623,38.1883009438464,19.0342781389621
2016,43,0,80,79.3544735544486,40.3638221144502,-11.2198212134441,-5.81144198061213
2016,44,2,168,37.6827052552906,19.5231970211487,-41.671768299158,-20.8406250933015
2016,45,0,50,36.277342297732,18.1848299542216,-1.40536295755857,-1.33836706692713
2016,46,1,188,9.33114690335283,4.93210720223898,-26.9461953943792,-13.2527227519826
2016,47,1,100,53.6988207386153,27.8856446195387,44.3676738352625,22.9535374172997
