"year","forecast_origin_id","week","forecast_step","dep_var","fit","lwr","upr","model","Prior","n_ahead","last_obs_id","Detected","total_vol"
2016,16,19,3,"total_vol",1432,147.890885836985,2716.10911416302,"sarima","none",4,52,264,2210
2016,16,20,4,"total_vol",1432,0,2914.76148546174,"sarima","none",4,52,109,1068
2016,17,18,1,"total_vol",2459,1582.34516820064,3335.65483179936,"sarima","none",4,52,81,1254
2016,17,19,2,"total_vol",2459,1219.22284734945,3698.77715265055,"sarima","none",4,52,264,2210
2016,17,20,3,"total_vol",2459,940.589290622767,3977.41070937723,"sarima","none",4,52,109,1068
2016,17,21,4,"total_vol",2459,705.690336401288,4212.30966359871,"sarima","none",4,52,50,832
2016,18,19,1,"total_vol",1254,228.608443511831,2279.39155648817,"sarima","none",4,52,264,2210
2016,18,20,2,"total_vol",1254,0,2704.12264592843,"sarima","none",4,52,109,1068
2016,18,21,3,"total_vol",1254,0,3030.03027348964,"sarima","none",4,52,50,832
2016,18,22,4,"total_vol",1254,0,3304.78311297634,"sarima","none",4,52,0,620
2016,19,20,1,"total_vol",1882.35544116842,996.024941410775,2768.68594092606,"sarima","none",4,52,109,1068
2016,19,21,2,"total_vol",1975.42065366086,1055.67012373994,2895.17118358177,"sarima","none",4,52,50,832
2016,19,22,3,"total_vol",2068.4858661533,1116.48779904446,3020.48393326214,"sarima","none",4,52,0,620
2016,19,23,4,"total_vol",2161.55107864574,1178.36259098524,3144.73956630624,"sarima","none",4,52,417,2264
2016,20,21,1,"total_vol",1756.95308813048,764.519452202778,2749.38672405819,"sarima","none",4,52,50,832
2016,20,22,2,"total_vol",1341.31704816154,273.640325172292,2408.9937711508,"sarima","none",4,52,0,620
2016,20,23,3,"total_vol",1592.06462546008,284.461242638481,2899.66800828167,"sarima","none",4,52,417,2264
2016,20,24,4,"total_vol",1440.79201799855,27.2146027331773,2854.36943326393,"sarima","none",4,52,216,1392
2016,21,22,1,"total_vol",832,0,1985.45062856309,"sarima","none",4,52,0,620
2016,21,23,2,"total_vol",832,0,2463.2255224417,"sarima","none",4,52,417,2264
2016,21,24,3,"total_vol",832,0,2829.83509269354,"sarima","none",4,52,216,1392
2016,21,25,4,"total_vol",832,0,3138.90125712619,"sarima","none",4,52,437,2679
2016,22,23,1,"total_vol",620,0,1749.29850910262,"sarima","none",4,52,417,2264
2016,22,24,2,"total_vol",620,0,2217.06926754063,"sarima","none",4,52,216,1392
2016,22,25,3,"total_vol",620,0,2576.00239467751,"sarima","none",4,52,437,2679
2016,22,26,4,"total_vol",620,0,2878.59701820523,"sarima","none",4,52,290,1945
2016,23,24,1,"total_vol",2264,964.278585390197,3563.7214146098,"sarima","none",4,52,216,1392
2016,23,25,2,"total_vol",2264,425.916348152073,4102.08365184793,"sarima","none",4,52,437,2679
2016,23,26,3,"total_vol",2264,12.8164742105278,4515.18352578947,"sarima","none",4,52,290,1945
2016,23,27,4,"total_vol",2264,0,4863.44282921961,"sarima","none",4,52,164,1740
2016,24,25,1,"total_vol",1432.03150368608,320.072321450607,2543.99068592156,"sarima","none",4,52,437,2679
2016,24,26,2,"total_vol",1432.03150368608,257.06584227824,2606.99716509393,"sarima","none",4,52,290,1945
2016,24,27,3,"total_vol",1432.03150368608,197.270236064948,2666.79277130722,"sarima","none",4,52,164,1740
2016,24,28,4,"total_vol",1432.03150368608,140.239542669475,2723.82346470269,"sarima","none",4,52,97,1660
2016,25,26,1,"total_vol",1954.22403249249,763.077390204548,3145.37067478042,"sarima","none",4,52,290,1945
2016,25,27,2,"total_vol",2362.38269844156,1062.53843553645,3662.22696134666,"sarima","none",4,52,164,1740
2016,25,28,3,"total_vol",2132.52753759477,552.591649713191,3712.46342547635,"sarima","none",4,52,97,1660
2016,25,29,4,"total_vol",2261.97081388795,539.781649616125,3984.15997815978,"sarima","none",4,52,0,148
2016,26,27,1,"total_vol",2359.69264645364,1193.69309700123,3525.69219590605,"sarima","none",4,52,164,1740
2016,26,28,2,"total_vol",2125.40110555075,853.849022487594,3396.9531886139,"sarima","none",4,52,97,1660
2016,26,29,3,"total_vol",2257.77028693865,711.733901447765,3803.80667242954,"sarima","none",4,52,0,148
2016,26,30,4,"total_vol",2182.98482898408,498.352592859955,3867.61706510821,"sarima","none",4,52,214,1785
2016,27,28,1,"total_vol",1851.7708728332,697.316895268619,3006.22485039778,"sarima","none",4,52,97,1660
2016,27,29,2,"total_vol",1851.7708728332,620.377611539504,3083.1641341269,"sarima","none",4,52,0,148
2016,27,30,3,"total_vol",1851.7708728332,547.970757169619,3155.57098849678,"sarima","none",4,52,214,1785
2016,27,31,4,"total_vol",1851.7708728332,479.378757128214,3224.16298853819,"sarima","none",4,52,173,1604
2016,28,29,1,"total_vol",1780.01982694249,645.921472134637,2914.11818175035,"sarima","none",4,52,0,148
2016,28,30,2,"total_vol",1780.01982694249,572.938111096387,2987.1015427886,"sarima","none",4,52,214,1785
2016,28,31,3,"total_vol",1780.01982694249,504.122707625236,3055.91694625975,"sarima","none",4,52,173,1604
2016,28,32,4,"total_vol",1780.01982694249,438.833542553122,3121.20611133187,"sarima","none",4,52,91,1038
2016,29,30,1,"total_vol",927.306554149281,0,2197.42836603562,"sarima","none",4,52,214,1785
2016,29,31,2,"total_vol",525.640743739211,0,1937.0331200489,"sarima","none",4,52,173,1604
2016,29,32,3,"total_vol",732.66508145763,0,2435.61363734357,"sarima","none",4,52,91,1038
2016,29,33,4,"total_vol",625.961759200766,0,2498.62149658004,"sarima","none",4,52,36,810
2016,30,31,1,"total_vol",1430.11900826321,168.584150542839,2691.65386598359,"sarima","none",4,52,173,1604
2016,30,32,2,"total_vol",1430.11900826321,112.102130821508,2748.13588570492,"sarima","none",4,52,91,1038
2016,30,33,3,"total_vol",1430.11900826321,57.94307887267,2802.29493765376,"sarima","none",4,52,36,810
2016,30,34,4,"total_vol",1430.11900826321,5.84197300061442,2854.39604352581,"sarima","none",4,52,53,835
2016,31,32,1,"total_vol",1483.25181308122,242.297237620591,2724.20638854185,"sarima","none",4,52,91,1038
2016,31,33,2,"total_vol",1483.25181308122,188.205502731315,2778.29812343113,"sarima","none",4,52,36,810
2016,31,34,3,"total_vol",1483.25181308122,136.28424348456,2830.21938267788,"sarima","none",4,52,53,835
2016,31,35,4,"total_vol",1483.25181308122,86.2914266924852,2880.21219946996,"sarima","none",4,52,22,681
2016,32,33,1,"total_vol",1349.22143897037,118.654337450041,2579.7885404907,"sarima","none",4,52,36,810
2016,32,34,2,"total_vol",1349.22143897037,64.2610347690395,2634.18184317171,"sarima","none",4,52,53,835
2016,32,35,3,"total_vol",1349.22143897037,12.0785560343882,2686.36432190636,"sarima","none",4,52,22,681
2016,32,36,4,"total_vol",1349.22143897037,0,2736.58546416616,"sarima","none",4,52,19,472
2016,33,34,1,"total_vol",1175.2876187262,0,2401.12046476818,"sarima","none",4,52,53,835
2016,33,35,2,"total_vol",1175.2876187262,0,2460.02664739674,"sarima","none",4,52,22,681
2016,33,36,3,"total_vol",1175.2876187262,0,2516.34786239286,"sarima","none",4,52,19,472
2016,33,37,4,"total_vol",1175.2876187262,0,2570.39721388253,"sarima","none",4,52,21,557
2016,34,35,1,"total_vol",1055.24444829703,0,2267.97542349435,"sarima","none",4,52,22,681
2016,34,36,2,"total_vol",1055.24444829703,0,2331.53084098126,"sarima","none",4,52,19,472
2016,34,37,3,"total_vol",1055.24444829703,0,2392.06810686191,"sarima","none",4,52,21,557
2016,34,38,4,"total_vol",1055.24444829703,0,2449.98027706413,"sarima","none",4,52,1,348
2016,35,36,1,"total_vol",916.725971747689,0,2118.1782331584,"sarima","none",4,52,19,472
2016,35,37,2,"total_vol",916.725971747689,0,2187.45682293894,"sarima","none",4,52,21,557
2016,35,38,3,"total_vol",916.725971747689,0,2253.14890476312,"sarima","none",4,52,1,348
2016,35,39,4,"total_vol",916.725971747689,0,2315.75978678216,"sarima","none",4,52,1,249
2016,36,37,1,"total_vol",743.13258570403,0,1936.56802167802,"sarima","none",4,52,21,557
2016,36,38,2,"total_vol",743.13258570403,0,2013.43194549501,"sarima","none",4,52,1,348
2016,36,39,3,"total_vol",743.13258570403,0,2085.9031495504,"sarima","none",4,52,1,249
2016,36,40,4,"total_vol",743.13258570403,0,2154.6583951667,"sarima","none",4,52,2,245
2016,37,38,1,"total_vol",668.533651436058,0,1846.63822754108,"sarima","none",4,52,1,348
2016,37,39,2,"total_vol",668.533651436058,0,1926.01099691543,"sarima","none",4,52,1,249
2016,37,40,3,"total_vol",668.533651436058,0,2000.66283306527,"sarima","none",4,52,2,245
2016,37,41,4,"total_vol",668.533651436058,0,2071.34762295986,"sarima","none",4,52,1,154
2016,38,39,1,"total_vol",539.887325140131,0,1706.46806407689,"sarima","none",4,52,1,249
2016,38,40,2,"total_vol",539.887325140131,0,1789.8612865262,"sarima","none",4,52,2,245
2016,38,41,3,"total_vol",539.887325140131,0,1868.02857810539,"sarima","none",4,52,1,154
2016,38,42,4,"total_vol",539.887325140131,0,1941.84433999939,"sarima","none",4,52,0,71
2016,39,40,1,"total_vol",420.441957664632,0,1575.16585050327,"sarima","none",4,52,2,245
2016,39,41,2,"total_vol",420.441957664632,0,1661.99280144809,"sarima","none",4,52,1,154
2016,39,42,3,"total_vol",420.441957664632,0,1743.13229432942,"sarima","none",4,52,0,71
2016,39,43,4,"total_vol",420.441957664632,0,1819.57417290143,"sarima","none",4,52,0,80
2016,40,41,1,"total_vol",442.943492686468,0,1572.62711195239,"sarima","none",4,52,1,154
2016,40,42,2,"total_vol",507.75111157751,0,1698.91193329589,"sarima","none",4,52,0,71
2016,40,43,3,"total_vol",597.618407216263,0,1895.54611277478,"sarima","none",4,52,0,80
2016,40,44,4,"total_vol",649.995321486354,0,1982.70996142222,"sarima","none",4,52,2,168
2016,41,42,1,"total_vol",393.722889430654,0,1511.4982432392,"sarima","none",4,52,0,71
2016,41,43,2,"total_vol",443.441459544963,0,1624.49889800724,"sarima","none",4,52,0,80
2016,41,44,3,"total_vol",544.917191039065,0,1837.07951086338,"sarima","none",4,52,2,168
2016,41,45,4,"total_vol",597.070650393533,0,1926.6794723422,"sarima","none",4,52,0,50
2016,42,43,1,"total_vol",313.261378177236,0,1420.42723238591,"sarima","none",4,52,0,80
2016,42,44,2,"total_vol",368.227413904975,0,1541.3033125217,"sarima","none",4,52,2,168
2016,42,45,3,"total_vol",474.634356544381,0,1763.56703682734,"sarima","none",4,52,0,50
2016,42,46,4,"total_vol",531.668336625191,0,1861.30721284689,"sarima","none",4,52,1,188
2016,43,44,1,"total_vol",271.655597458525,0,1366.6991957673,"sarima","none",4,52,2,168
2016,43,45,2,"total_vol",343.305062973218,0,1505.92154327038,"sarima","none",4,52,0,50
2016,43,46,3,"total_vol",438.898825723936,0,1720.58438773416,"sarima","none",4,52,1,188
2016,43,47,4,"total_vol",499.178795468988,0,1823.96130606523,"sarima","none",4,52,1,100
2016,44,45,1,"total_vol",299.949521317067,0,1381.78721604754,"sarima","none",4,52,0,50
2016,44,46,2,"total_vol",379.772749393346,0,1529.25951334069,"sarima","none",4,52,1,188
2016,44,47,3,"total_vol",457.075502212076,0,1726.35646201874,"sarima","none",4,52,1,100
2016,44,48,4,"total_vol",514.259587518034,0,1827.39344642529,"sarima","none",4,52,3,163
2016,45,46,1,"total_vol",276.84698860737,0,1347.83831973088,"sarima","none",4,52,1,188
2016,45,47,2,"total_vol",314.867408081194,0,1454.27169703635,"sarima","none",4,52,1,100
2016,45,48,3,"total_vol",413.924930111603,0,1676.39945898236,"sarima","none",4,52,3,163
2016,45,49,4,"total_vol",464.180706819066,0,1772.56562651522,"sarima","none",4,52,2,307
2016,46,47,1,"total_vol",142.30292000747,0,1207.08623485586,"sarima","none",4,52,1,100
2016,46,48,2,"total_vol",142.30292000747,0,1293.6153279019,"sarima","none",4,52,3,163
2016,46,49,3,"total_vol",142.30292000747,0,1374.08090875537,"sarima","none",4,52,2,307
2016,46,50,4,"total_vol",142.30292000747,0,1449.60310227471,"sarima","none",4,52,1,69
2016,47,48,1,"total_vol",124.916801579999,0,1177.87212308086,"sarima","none",4,52,3,163
2016,47,49,2,"total_vol",124.916801579999,0,1263.3794120869,"sarima","none",4,52,2,307
2016,47,50,3,"total_vol",124.916801579999,0,1342.89846070603,"sarima","none",4,52,1,69
2016,47,51,4,"total_vol",124.916801579999,0,1417.53489228298,"sarima","none",4,52,0,9
2016,48,49,1,"total_vol",140.575315031199,0,1182.07306191765,"sarima","none",4,52,2,307
2016,48,50,2,"total_vol",140.575315031199,0,1266.50056217311,"sarima","none",4,52,1,69
2016,48,51,3,"total_vol",140.575315031199,0,1345.02447026092,"sarima","none",4,52,0,9
2016,48,52,4,"total_vol",140.575315031199,0,1418.73331501226,"sarima","none",4,52,0,64
2016,49,50,1,"total_vol",208.888122955088,0,1240.33934433154,"sarima","none",4,52,1,69
2016,49,51,2,"total_vol",208.888122955088,0,1323.84975973339,"sarima","none",4,52,0,9
2016,49,52,3,"total_vol",208.888122955088,0,1401.5269118999,"sarima","none",4,52,0,64
2016,50,51,1,"total_vol",151.52370846676,0,1172.91601891208,"sarima","none",4,52,0,9
2016,50,52,2,"total_vol",151.52370846676,0,1255.12685388908,"sarima","none",4,52,0,64
2016,51,52,1,"total_vol",93.1871162663268,0,1104.89216902152,"sarima","none",4,52,0,64
2017,2,3,1,"total_vol",75,0,166.469652407079,"sarima","none",4,52,1,247
2017,2,4,2,"total_vol",75,0,166.469652407079,"sarima","none",4,52,0,295
2017,2,5,3,"total_vol",75,0,166.469652407079,"sarima","none",4,52,0,192
2017,2,6,4,"total_vol",75,0,166.469652407079,"sarima","none",4,52,3,517
2017,3,4,1,"total_vol",132.333333333333,0,337.431491718225,"sarima","none",4,52,0,295
2017,3,5,2,"total_vol",132.333333333333,0,337.431491718225,"sarima","none",4,52,0,192
2017,3,6,3,"total_vol",132.333333333333,0,337.431491718225,"sarima","none",4,52,3,517
2017,3,7,4,"total_vol",132.333333333333,0,337.431491718225,"sarima","none",4,52,3,505
2017,4,5,1,"total_vol",0,0,393.779641457921,"sarima","none",4,52,0,192
2017,4,6,2,"total_vol",0,0,393.779641457921,"sarima","none",4,52,3,517
2017,4,7,3,"total_vol",0,0,393.779641457921,"sarima","none",4,52,3,505
2017,4,8,4,"total_vol",0,0,393.779641457921,"sarima","none",4,52,3,455
2017,5,6,1,"total_vol",176.8,0,377.719731009745,"sarima","none",4,52,3,517
2017,5,7,2,"total_vol",176.8,0,377.719731009745,"sarima","none",4,52,3,505
2017,5,8,3,"total_vol",176.8,0,377.719731009745,"sarima","none",4,52,3,455
2017,5,9,4,"total_vol",176.8,0,377.719731009745,"sarima","none",4,52,5,636
2017,6,7,1,"total_vol",233.5,0,559.681231734125,"sarima","none",4,52,3,505
2017,6,8,2,"total_vol",233.5,0,559.681231734125,"sarima","none",4,52,3,455
2017,6,9,3,"total_vol",233.5,0,559.681231734125,"sarima","none",4,52,5,636
2017,6,10,4,"total_vol",233.5,0,559.681231734125,"sarima","none",4,52,5,572
2017,7,8,1,"total_vol",505,203.098734950297,806.901265049703,"sarima","none",4,52,3,455
2017,7,9,2,"total_vol",505,78.0471364691158,931.952863530884,"sarima","none",4,52,5,636
2017,7,10,3,"total_vol",505,0,1027.9083299354,"sarima","none",4,52,5,572
2017,7,11,4,"total_vol",505,0,1108.80253009941,"sarima","none",4,52,14,1000
2017,8,9,1,"total_vol",455,173.050184282126,736.949815717874,"sarima","none",4,52,5,636
2017,8,10,2,"total_vol",455,56.2627467031881,853.737253296812,"sarima","none",4,52,5,572
2017,8,11,3,"total_vol",455,0,943.351406008039,"sarima","none",4,52,14,1000
2017,8,12,4,"total_vol",455,0,1018.89963143575,"sarima","none",4,52,8,749
2017,9,10,1,"total_vol",636,343.955499429419,928.044500570581,"sarima","none",4,52,5,572
2017,9,11,2,"total_vol",636,222.986706476607,1049.01329352339,"sarima","none",4,52,14,1000
2017,9,12,3,"total_vol",636,130.164086940676,1141.83591305932,"sarima","none",4,52,8,749
